x0000,y0000,x0001,y0001
1.369911285,-93.76799321,1.369911285,-41.80184723,
1.670941281,-110.7724163,1.670941281,-46.27653208,
1.84703254,-121.7155555,1.84703254,-60.71590792,
1.971971276,-113.1246531,1.971971276,-59.97596281,
2.068881289,-119.4084664,2.068881289,-67.53668915,
2.148062535,-106.3208258,2.148062535,-58.13089561,
2.215009325,-78.2986272,2.215009325,-30.32393926,
2.273001272,-68.40338192,2.273001272,-20.45510823,
2.324153795,-68.10661641,2.324153795,-20.15462158,
2.369911285,-77.25904989,2.369911285,-29.3161865,
2.41130397,-102.6437176,2.41130397,-54.79036788,
2.449092531,-127.2294241,2.449092531,-80.68787112,
2.483854637,-124.6309169,2.483854637,-76.94773428,
2.516039321,-133.9150724,2.516039321,-84.18368732,
2.546002544,-151.934265,2.546002544,-88.84782338,
2.574031268,-115.9065999,2.574031268,-78.54279707,
2.600360206,-111.9532654,2.600360206,-73.92868055,
2.62518379,-115.5476089,2.62518379,-77.62262314,
2.648664886,-131.7921081,2.648664886,-94.62174116,
2.670941281,-141.5712835,2.670941281,-96.40178911,
2.69213058,-147.6627979,2.69213058,-107.6032909,
2.712333966,-139.861253,2.712333966,-93.21277954,
2.731639121,-132.3598085,2.731639121,-85.80208414,
2.750122527,-111.9852796,2.750122527,-66.19730717,
2.767851294,-101.4081058,2.767851294,-56.09865312,
2.784884633,-100.4906009,2.784884633,-55.24085147,
2.801275049,-108.8940894,2.801275049,-63.71989434,
2.817069316,-132.1427123,2.817069316,-88.1798648,
2.832309283,-148.3144198,2.832309283,-101.4112711,
2.84703254,-132.3589153,2.84703254,-102.8691771,
2.861272979,-118.008956,2.861272979,-83.8672455,
2.875061263,-113.679068,2.875061263,-78.88460718,
2.888425225,-119.7803758,2.888425225,-89.26994888,
2.901390202,-118.5480497,2.901390202,-81.52238513,
2.913979329,-120.6866101,2.913979329,-83.40929686,
2.926213786,-132.9562485,2.926213786,-98.97105261,
2.938113009,-143.6409413,2.938113009,-114.6740134,
2.949694882,-153.1244135,2.949694882,-110.351099,
2.960975892,-160.8892077,2.960975892,-101.5217384,
2.971971276,-139.5914384,2.971971276,-96.94231992,
2.982695142,-120.3283544,2.982695142,-74.61372445,
2.993160575,-109.0901799,2.993160575,-63.17468328,
3.003379741,-107.5937592,3.003379741,-61.69832479,
3.013363962,-115.508413,3.013363962,-69.47258385,
3.023123799,-137.4026644,3.023123799,-90.25006247,
3.032669117,-138.1447987,3.032669117,-112.0795063,
3.042009143,-146.7113307,3.042009143,-96.39676464,
3.051152522,-156.7918628,3.051152522,-104.6128445,
3.060107365,-134.7447334,3.060107365,-104.3570466,
3.068881289,-119.5408921,3.068881289,-91.98745282,
3.077481461,-113.5142182,3.077481461,-85.77809408,
3.085914629,-115.727718,3.085914629,-87.65549734,
3.094187155,-126.8239732,3.094187155,-100.5107747,
3.102305045,-143.5547989,3.102305045,-103.7403863,
3.110273975,-150.4769572,3.110273975,-104.0785903,
3.118099312,-151.3007422,3.118099312,-103.379445,
3.125786141,-157.6567067,3.125786141,-109.1756959,
3.133339279,-124.6928871,3.133339279,-78.17496657,
3.140763297,-112.8353923,3.140763297,-66.08331887,
3.148062535,-110.8658029,3.148062535,-64.03372977,
3.15524112,-118.1110245,3.15524112,-70.89544674,
3.162302975,-132.5451715,3.162302975,-87.71488446,
3.169251835,-117.8016868,3.169251835,-83.88352821,
3.176091259,-112.8301954,3.176091259,-79.77561416,
3.182824642,-116.9298339,3.182824642,-84.28256871,
3.189455221,-133.2244232,3.189455221,-108.7829941,
3.195986088,-128.2764074,3.195986088,-86.33818297,
3.202420198,-120.8667146,3.202420198,-79.94773747,
3.208760376,-122.6775116,3.208760376,-82.25911862,
3.215009325,-133.2447431,3.215009325,-95.37677494,
3.221169634,-142.1588321,3.221169634,-107.3285534,
3.227243782,-145.198686,3.227243782,-110.2013339,
3.233234145,-141.0370367,3.233234145,-113.1607895,
3.239143005,-140.8175491,3.239143005,-106.6734638,
3.244972548,-134.7450572,3.244972548,-84.3075032,
3.250724877,-122.1508908,3.250724877,-71.92169613,
3.25640201,-119.5813093,3.25640201,-69.3920607,
3.262005888,-126.2077562,3.262005888,-75.72308495,
3.267538376,-151.8260869,3.267538376,-93.06183966,
3.273001272,-143.0637325,3.273001272,-114.2599192,
3.278396304,-145.0809722,3.278396304,-110.7473054,
3.283725137,-150.0427423,3.283725137,-109.1650879,
3.288989377,-143.8771752,3.288989377,-102.8025992,
3.294190571,-126.318877,3.294190571,-86.44401,
3.299330211,-117.7413094,3.299330211,-78.69563374,
3.304409736,-118.8110605,3.304409736,-79.77541563,
3.309430538,-129.7609579,3.309430538,-90.83765363,
3.314393957,-143.2258068,3.314393957,-111.7298833,
3.319301292,-147.5998044,3.319301292,-96.20796293,
3.324153795,-138.4950997,3.324153795,-90.31108608,
3.328952677,-140.5963146,3.328952677,-94.28325946,
3.333699112,-132.8529237,3.333699112,-91.61649377,
3.338394234,-119.6869409,3.338394234,-77.02901542,
3.343039139,-116.0098707,3.343039139,-73.34904579,
3.34763489,-114.3135554,3.34763489,-76.22767283,
3.352182518,-111.2776024,3.352182518,-79.55036675,
3.356683019,-115.6152466,3.356683019,-84.4485552,
3.361137361,-129.337482,3.361137361,-96.76732689,
3.36554648,-146.4916737,3.36554648,-106.1071141,
3.369911285,-146.2785623,3.369911285,-109.6414458,
3.374232659,-134.9049866,3.374232659,-99.39813856,
3.378511457,-131.846956,3.378511457,-95.3497459,
3.38274851,-138.1884309,3.38274851,-99.06449016,
3.386944624,-143.9064358,3.386944624,-111.0181169,
3.391100584,-145.6312185,3.391100584,-106.6866732,
3.39521715,-143.2995758,3.39521715,-118.1899819,
3.399295063,-145.6640301,3.399295063,-115.5300303,
3.403335041,-145.0270595,3.403335041,-111.8547478,
3.407337783,-133.008681,3.407337783,-104.6664165,
