x0000,y0000,x0001,y0001
3.003379741,-118.3245608,3.003379741,-79.58835661,
3.013363962,-126.8292345,3.013363962,-84.72596456,
3.023123799,-131.7531347,3.023123799,-88.39298277,
3.032669117,-122.5967047,3.032669117,-77.41970926,
3.042009143,-119.0363619,3.042009143,-73.50858824,
3.051152522,-123.9267134,3.051152522,-78.23634257,
3.060107365,-142.4251307,3.060107365,-93.62378937,
3.068881289,-130.5525413,3.068881289,-103.2505932,
3.077481461,-125.6566898,3.077481461,-92.47406752,
3.085914629,-129.0888665,3.085914629,-93.50732414,
3.094187155,-139.702713,3.094187155,-100.4054105,
3.102305045,-132.7053077,3.102305045,-81.99116548,
3.110273975,-122.6164881,3.110273975,-74.41401611,
3.118099312,-122.4417698,3.118099312,-75.65551515,
3.125786141,-128.8548542,3.125786141,-87.81397669,
3.133339279,-140.7998636,3.133339279,-93.06321034,
3.140763297,-122.1326964,3.140763297,-83.16842939,
3.148062535,-119.7601254,3.148062535,-80.96780986,
3.15524112,-126.7057387,3.15524112,-88.3845094,
3.162302975,-131.0852638,3.162302975,-93.14442304,
3.169251835,-114.7492051,3.169251835,-72.88193649,
3.176091259,-110.3730657,3.176091259,-68.02097034,
3.182824642,-114.9872,3.182824642,-72.52925747,
3.189455221,-130.3892594,3.189455221,-89.20650296,
3.195986088,-131.9707748,3.195986088,-94.69596586,
3.202420198,-125.2445506,3.202420198,-87.75705078,
3.208760376,-127.032742,3.208760376,-89.57082352,
3.215009325,-137.4093406,3.215009325,-99.63078435,
3.221169634,-133.9108673,3.221169634,-87.20763487,
3.227243782,-124.8722143,3.227243782,-76.69423158,
3.233234145,-124.459811,3.233234145,-76.31885999,
3.239143005,-133.3381297,3.239143005,-85.18209929,
3.244972548,-132.8941243,3.244972548,-96.42299451,
3.250724877,-122.2504313,3.250724877,-82.42573419,
3.25640201,-119.8831867,3.25640201,-79.85278014,
3.262005888,-126.7579166,3.262005888,-86.76895707,
3.267538376,-141.6247834,3.267538376,-96.55608812,
3.273001272,-127.6786584,3.273001272,-81.76078187,
3.278396304,-121.9972381,3.278396304,-76.07850473,
3.283725137,-125.1247568,3.283725137,-79.29585195,
3.288989377,-137.825438,3.288989377,-91.44090382,
3.294190571,-135.3827477,3.294190571,-94.02548449,
3.299330211,-127.0657466,3.299330211,-90.48140983,
3.304409736,-128.0413283,3.304409736,-94.35523889,
3.309430538,-134.7056327,3.309430538,-103.8033111,
3.314393957,-127.8359669,3.314393957,-87.09055455,
3.319301292,-119.3208745,3.319301292,-75.67788521,
3.324153795,-118.8161324,3.324153795,-74.48156097,
3.328952677,-126.8746909,3.328952677,-82.10534313,
3.333699112,-135.7133623,3.333699112,-96.74874304,
3.338394234,-128.0740912,3.338394234,-95.10149346,
3.343039139,-125.2731701,3.343039139,-91.58660329,
3.34763489,-116.1566814,3.34763489,-84.70562541,
3.352182518,-111.761014,3.352182518,-80.86922142,
3.356683019,-118.7198495,3.356683019,-83.05079163,
